element,atomic_number,atomic_weight,atomic_radius_pm,electronegativity,melting_point_K,density,group,period,atomic_mass,VEC,source_note
Ag,47,107.8682,160,1.93,1234.93,10.5,11.0,5,107.8682,11,VEC corrected (pymatgen bug: outer-shell only)
Al,13,26.9815385,125,1.61,933.473,2.7,13.0,3,26.9815386,3,unchanged (pymatgen/mendeleev value)
Au,79,196.966569,135,2.54,1337.33,19.3,11.0,6,196.966569,11,EN corrected; VEC corrected (pymatgen bug: outer-shell only)
B,5,10.81,85,2.04,2350.15,2.34,13.0,2,10.811,3,unchanged (pymatgen/mendeleev value)
Ba,56,137.327,215,0.89,1000.15,3.62,2.0,6,137.327,2,unchanged (pymatgen/mendeleev value)
Bi,83,208.9804,160,2.02,544.552,9.79,15.0,6,208.9804,5,EN corrected
Ca,20,40.078,180,1.0,1115.15,1.54,2.0,4,40.078,2,unchanged (pymatgen/mendeleev value)
Cd,48,112.414,155,1.69,594.219,8.69,12.0,5,112.411,12,unchanged (pymatgen/mendeleev value)
Ce,58,140.116,185,1.12,1072.15,6.77,,6,140.116,3,VEC corrected (pymatgen: ambiguous/missing)
Co,27,58.933194,135,1.88,1768.15,8.86,9.0,4,58.933195,9,unchanged (pymatgen/mendeleev value)
Cr,24,51.9961,140,1.66,2180.15,7.15,6.0,4,51.9961,6,VEC corrected (pymatgen: ambiguous/missing)
Cu,29,63.546,135,1.9,1357.77,8.96,11.0,4,63.546,11,VEC corrected (pymatgen bug: outer-shell only)
Eu,63,151.964,185,1.2,1095.15,5.24,,6,151.964,3,EN corrected
Fe,26,55.845,140,1.83,1811.15,7.87,8.0,4,55.845,8,unchanged (pymatgen/mendeleev value)
Ga,31,69.723,130,1.81,302.9146,5.91,13.0,4,69.723,3,unchanged (pymatgen/mendeleev value)
Gd,64,157.25,180,1.2,1586.15,7.9,,6,157.25,3,VEC corrected (pymatgen: ambiguous/missing)
Ge,32,72.63,125,2.01,1211.4,5.3234,14.0,4,72.64,4,unchanged (pymatgen/mendeleev value)
Hg,80,200.592,150,2.0,234.321,13.5336,12.0,6,200.59,12,EN corrected
In,49,114.818,155,1.78,429.7485,7.31,13.0,5,114.818,3,unchanged (pymatgen/mendeleev value)
Ir,77,192.217,135,2.2,2719.15,22.5622,9.0,6,192.217,9,unchanged (pymatgen/mendeleev value)
Li,3,6.94,145,0.98,453.65,0.534,1.0,2,6.941,1,unchanged (pymatgen/mendeleev value)
Mg,12,24.305,150,1.31,923.15,1.74,2.0,3,24.305,2,unchanged (pymatgen/mendeleev value)
Mn,25,54.938044,140,1.55,1519.15,7.3,7.0,4,54.938045,7,unchanged (pymatgen/mendeleev value)
Na,11,22.98976928,180,0.93,370.944,0.97,1.0,3,22.98976928,1,unchanged (pymatgen/mendeleev value)
Nb,41,92.90637,145,1.6,2750.15,8.57,5.0,5,92.90638,5,VEC corrected (pymatgen: ambiguous/missing)
Ni,28,58.6934,135,1.91,1728.15,8.9,10.0,4,58.6934,10,unchanged (pymatgen/mendeleev value)
Pb,82,207.2,180,2.33,600.612,11.3,14.0,6,207.2,4,EN corrected
Pd,46,106.42,140,2.2,1827.95,12.0,10.0,5,106.42,10,VEC corrected (pymatgen bug: outer-shell only)
Pt,78,195.084,135,2.28,2041.35,21.5,10.0,6,195.084,10,EN corrected; VEC corrected (pymatgen: ambiguous/missing)
Rh,45,102.9055,135,2.28,2236.15,12.4,9.0,5,102.9055,9,VEC corrected (pymatgen: ambiguous/missing)
Sb,51,121.76,145,2.05,903.778,6.68,15.0,5,121.76,5,unchanged (pymatgen/mendeleev value)
Sc,21,44.955908,160,1.36,1814.15,2.99,3.0,4,44.955912,3,unchanged (pymatgen/mendeleev value)
Se,34,78.971,115,2.55,494.15,4.809,16.0,4,78.96,6,MP corrected
Si,14,28.085,110,1.9,1687.15,2.3296,14.0,3,28.0855,4,unchanged (pymatgen/mendeleev value)
Sn,50,118.71,145,1.96,505.08,7.287,14.0,5,118.71,4,MP corrected
Sr,38,87.62,200,0.95,1050.15,2.64,2.0,5,87.62,2,unchanged (pymatgen/mendeleev value)
Tb,65,158.92535,175,1.1,1632.15,8.23,,6,158.92535,3,EN corrected
Te,52,127.6,140,2.1,722.66,6.232,16.0,5,127.6,6,unchanged (pymatgen/mendeleev value)
Ti,22,47.867,140,1.54,1943.15,4.506,4.0,4,47.867,4,unchanged (pymatgen/mendeleev value)
Tl,81,204.38,190,1.62,577.15,11.8,13.0,6,204.3833,3,EN corrected
Y,39,88.90584,180,1.22,1795.15,4.47,3.0,5,88.90585,3,unchanged (pymatgen/mendeleev value)
Yb,70,173.045,175,1.1,1097.15,6.9,,6,173.04,3,EN corrected
Zn,30,65.38,135,1.65,692.677,7.134,12.0,4,65.409,12,unchanged (pymatgen/mendeleev value)
Zr,40,91.224,155,1.33,2127.15,6.52,4.0,5,91.224,4,unchanged (pymatgen/mendeleev value)
